	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z	eps
a	0.76	0.001	0.001	0.001	0.01	0.001	0.001	0.005	0.04	0.001	0.001	0.005	0.001	0.001	0.005	0.005	0.001	0.001	0.01	0.001	0.005	0.005	0.001	0.001	0.005	0.001	0.13
b	0.005	0.75	0.001	0.005	0.005	0.005	0.01	0.01	0.005	0.005	0.005	0.005	0.01	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.01	0.001	0.001	0.001	0.001	0.125
c	0.005	0.001	0.702	0.005	0.01	0.005	0.005	0.005	0.005	0.005	0.05	0.005	0.001	0.001	0.01	0.005	0.005	0.005	0.005	0.005	0.005	0.01	0.005	0.005	0.005	0.005	0.125
d	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
e	0.015	0.005	0.005	0.005	0.66	0.005	0.005	0.005	0.07	0.005	0.005	0.02	0.005	0.005	0.01	0.001	0.005	0.02	0.005	0.005	0.005	0.005	0.001	0.001	0.001	0.001	0.125
f	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
g	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
h	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.74	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.01	0.001	0.001	0.001	0.001	0.001	0.005	0.15
i	0.005	0.001	0.001	0.001	0.07	0.005	0.005	0.005	0.683	0.005	0.005	0.005	0.001	0.001	0.005	0.005	0.001	0.005	0.005	0.005	0.005	0.001	0.005	0.005	0.01	0.005	0.15
j	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.01	0.753	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.001	0.005	0.005	0.005	0.005	0.005	0.001	0.125
k	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
l	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
m	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.7	0.05	0.005	0.001	0.001	0.001	0.001	0.001	0.005	0.001	0.001	0.001	0.001	0.001	0.17
n	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.05	0.7	0.005	0.005	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.17
o	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.75	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.125
